# If units not specified use current design units
Units mils

# Format for pin definition file (comma delineated)
PinNumber,Padstack,x,y,rotation,mirror
,SMD_XX90NP,185.04,185.04,180.0,0
,SMD_XX90NP,854.34,854.34,0.0,0
A1,BALL16M2,818.9,220.48,180.0,0
A2,BALL16M2,787.41,220.48,180.0,0
A3,BALL16M2,755.91,220.48,180.0,0
A4,BALL16M2,724.41,220.48,180.0,0
A5,BALL16M2,692.92,220.48,180.0,0
A6,BALL16M2,661.42,220.48,180.0,0
A7,BALL16M2,629.93,220.48,180.0,0
A8,BALL16M2,598.43,220.48,180.0,0
A9,BALL16M2,566.93,220.48,180.0,0
A10,BALL16M2,535.44,220.48,180.0,0
A11,BALL16M2,503.94,220.48,180.0,0
A12,BALL16M2,472.45,220.48,180.0,0
A13,BALL16M2,440.95,220.48,180.0,0
A14,BALL16M2,409.45,220.48,180.0,0
A15,BALL16M2,377.96,220.48,180.0,0
A16,BALL16M2,346.46,220.48,180.0,0
A17,BALL16M2,314.97,220.48,180.0,0
A18,BALL16M2,283.47,220.48,180.0,0
A19,BALL16M2,251.97,220.48,180.0,0
A20,BALL16M2,220.48,220.48,180.0,0
B1,BALL16M2,818.9,251.97,180.0,0
B2,BALL16M2,787.41,251.97,180.0,0
B3,BALL16M2,755.91,251.97,180.0,0
B4,BALL16M2,724.41,251.97,180.0,0
B5,BALL16M2,692.92,251.97,180.0,0
B6,BALL16M2,661.42,251.97,180.0,0
B7,BALL16M2,629.93,251.97,180.0,0
B8,BALL16M2,598.43,251.97,180.0,0
B9,BALL16M2,566.93,251.97,180.0,0
B10,BALL16M2,535.44,251.97,180.0,0
B11,BALL16M2,503.94,251.97,180.0,0
B12,BALL16M2,472.45,251.97,180.0,0
B13,BALL16M2,440.95,251.97,180.0,0
B14,BALL16M2,409.45,251.97,180.0,0
B15,BALL16M2,377.96,251.97,180.0,0
B16,BALL16M2,346.46,251.97,180.0,0
B17,BALL16M2,314.97,251.97,180.0,0
B18,BALL16M2,283.47,251.97,180.0,0
B19,BALL16M2,251.97,251.97,180.0,0
B20,BALL16M2,220.48,251.97,180.0,0
C1,BALL16M2,818.9,283.47,180.0,0
C2,BALL16M2,787.41,283.47,180.0,0
C3,BALL16M2,755.91,283.47,180.0,0
C4,BALL16M2,724.41,283.47,180.0,0
C5,BALL16M2,692.92,283.47,180.0,0
C6,BALL16M2,661.42,283.47,180.0,0
C7,BALL16M2,629.93,283.47,180.0,0
C8,BALL16M2,598.43,283.47,180.0,0
C9,BALL16M2,566.93,283.47,180.0,0
C10,BALL16M2,535.44,283.47,180.0,0
C11,BALL16M2,503.94,283.47,180.0,0
C12,BALL16M2,472.45,283.47,180.0,0
C13,BALL16M2,440.95,283.47,180.0,0
C14,BALL16M2,409.45,283.47,180.0,0
C15,BALL16M2,377.96,283.47,180.0,0
C16,BALL16M2,346.46,283.47,180.0,0
C17,BALL16M2,314.97,283.47,180.0,0
C18,BALL16M2,283.47,283.47,180.0,0
C19,BALL16M2,251.97,283.47,180.0,0
C20,BALL16M2,220.48,283.47,180.0,0
D1,BALL16M2,818.9,314.97,180.0,0
D2,BALL16M2,787.41,314.97,180.0,0
D3,BALL16M2,755.91,314.97,180.0,0
D4,BALL16M2,724.41,314.97,180.0,0
D5,BALL16M2,692.92,314.97,180.0,0
D6,BALL16M2,661.42,314.97,180.0,0
D7,BALL16M2,629.93,314.97,180.0,0
D8,BALL16M2,598.43,314.97,180.0,0
D9,BALL16M2,566.93,314.97,180.0,0
D10,BALL16M2,535.44,314.97,180.0,0
D11,BALL16M2,503.94,314.97,180.0,0
D12,BALL16M2,472.45,314.97,180.0,0
D13,BALL16M2,440.95,314.97,180.0,0
D14,BALL16M2,409.45,314.97,180.0,0
D15,BALL16M2,377.96,314.97,180.0,0
D16,BALL16M2,346.46,314.97,180.0,0
D17,BALL16M2,314.97,314.97,180.0,0
D18,BALL16M2,283.47,314.97,180.0,0
D19,BALL16M2,251.97,314.97,180.0,0
D20,BALL16M2,220.48,314.97,180.0,0
E1,BALL16M2,818.9,346.46,180.0,0
E2,BALL16M2,787.41,346.46,180.0,0
E3,BALL16M2,755.91,346.46,180.0,0
E4,BALL16M2,724.41,346.46,180.0,0
E5,BALL16M2,692.92,346.46,180.0,0
E6,BALL16M2,661.42,346.46,180.0,0
E7,BALL16M2,629.93,346.46,180.0,0
E8,BALL16M2,598.43,346.46,180.0,0
E9,BALL16M2,566.93,346.46,180.0,0
E10,BALL16M2,535.44,346.46,180.0,0
E11,BALL16M2,503.94,346.46,180.0,0
E12,BALL16M2,472.45,346.46,180.0,0
E13,BALL16M2,440.95,346.46,180.0,0
E14,BALL16M2,409.45,346.46,180.0,0
E15,BALL16M2,377.96,346.46,180.0,0
E16,BALL16M2,346.46,346.46,180.0,0
E17,BALL16M2,314.97,346.46,180.0,0
E18,BALL16M2,283.47,346.46,180.0,0
E19,BALL16M2,251.97,346.46,180.0,0
E20,BALL16M2,220.48,346.46,180.0,0
F1,BALL16M2,818.9,377.96,180.0,0
F2,BALL16M2,787.41,377.96,180.0,0
F3,BALL16M2,755.91,377.96,180.0,0
F4,BALL16M2,724.41,377.96,180.0,0
F5,BALL16M2,692.92,377.96,180.0,0
F6,BALL16M2,661.42,377.96,180.0,0
F7,BALL16M2,629.93,377.96,180.0,0
F8,BALL16M2,598.43,377.96,180.0,0
F9,BALL16M2,566.93,377.96,180.0,0
F10,BALL16M2,535.44,377.96,180.0,0
F11,BALL16M2,503.94,377.96,180.0,0
F12,BALL16M2,472.45,377.96,180.0,0
F13,BALL16M2,440.95,377.96,180.0,0
F14,BALL16M2,409.45,377.96,180.0,0
F15,BALL16M2,377.96,377.96,180.0,0
F16,BALL16M2,346.46,377.96,180.0,0
F17,BALL16M2,314.97,377.96,180.0,0
F18,BALL16M2,283.47,377.96,180.0,0
F19,BALL16M2,251.97,377.96,180.0,0
F20,BALL16M2,220.48,377.96,180.0,0
G1,BALL16M2,818.9,409.45,180.0,0
G2,BALL16M2,787.41,409.45,180.0,0
G3,BALL16M2,755.91,409.45,180.0,0
G4,BALL16M2,724.41,409.45,180.0,0
G5,BALL16M2,692.92,409.45,180.0,0
G6,BALL16M2,661.42,409.45,180.0,0
G7,BALL16M2,629.93,409.45,180.0,0
G8,BALL16M2,598.43,409.45,180.0,0
G9,BALL16M2,566.93,409.45,180.0,0
G10,BALL16M2,535.44,409.45,180.0,0
G11,BALL16M2,503.94,409.45,180.0,0
G12,BALL16M2,472.45,409.45,180.0,0
G13,BALL16M2,440.95,409.45,180.0,0
G14,BALL16M2,409.45,409.45,180.0,0
G15,BALL16M2,377.96,409.45,180.0,0
G16,BALL16M2,346.46,409.45,180.0,0
G17,BALL16M2,314.97,409.45,180.0,0
G18,BALL16M2,283.47,409.45,180.0,0
G19,BALL16M2,251.97,409.45,180.0,0
G20,BALL16M2,220.48,409.45,180.0,0
H1,BALL16M2,818.9,440.95,180.0,0
H2,BALL16M2,787.41,440.95,180.0,0
H3,BALL16M2,755.91,440.95,180.0,0
H4,BALL16M2,724.41,440.95,180.0,0
H5,BALL16M2,692.92,440.95,180.0,0
H6,BALL16M2,661.42,440.95,180.0,0
H7,BALL16M2,629.93,440.95,180.0,0
H8,BALL16M2,598.43,440.95,180.0,0
H9,BALL16M2,566.93,440.95,180.0,0
H10,BALL16M2,535.44,440.95,180.0,0
H11,BALL16M2,503.94,440.95,180.0,0
H12,BALL16M2,472.45,440.95,180.0,0
H13,BALL16M2,440.95,440.95,180.0,0
H14,BALL16M2,409.45,440.95,180.0,0
H15,BALL16M2,377.96,440.95,180.0,0
H16,BALL16M2,346.46,440.95,180.0,0
H17,BALL16M2,314.97,440.95,180.0,0
H18,BALL16M2,283.47,440.95,180.0,0
H19,BALL16M2,251.97,440.95,180.0,0
H20,BALL16M2,220.48,440.95,180.0,0
J1,BALL16M2,818.9,472.45,180.0,0
J2,BALL16M2,787.41,472.45,180.0,0
J3,BALL16M2,755.91,472.45,180.0,0
J4,BALL16M2,724.41,472.45,180.0,0
J5,BALL16M2,692.92,472.45,180.0,0
J6,BALL16M2,661.42,472.45,180.0,0
J7,BALL16M2,629.93,472.45,180.0,0
J8,BALL16M2,598.43,472.45,180.0,0
J9,BALL16M2,566.93,472.45,180.0,0
