# If units not specified use current design units
Units mils

# Format for pin definition file (comma delineated)
PinNumber,Padstack,x,y,rotation
A2,C500SM600PM500,4008.9,2919.2,0.0
A4,C475SM575PM475,4071.6,2919.2,0.0
A6,C450SM550PM450,4134.3,2919.2,0.0
A8,C450SM550PM450,4197.1,2919.2,0.0
A10,C450SM550PM450,4259.8,2919.2,0.0
A12,C450SM550PM450,4322.5,2919.2,0.0
A14,C450SM550PM450,4385.3,2919.2,0.0
A16,C450SM550PM450,4448.0,2919.2,0.0
A18,C450SM550PM450,4510.8,2919.2,0.0
A20,C450SM550PM450,4573.5,2919.2,0.0
A22,C450SM550PM450,4636.2,2919.2,0.0
A24,C450SM550PM450,4699.0,2919.2,0.0
A26,C450SM550PM450,4761.7,2919.2,0.0
A28,C450SM550PM450,4824.4,2919.2,0.0
A30,C450SM550PM450,4887.2,2919.2,0.0
A32,C450SM550PM450,4949.9,2919.2,0.0
A34,C450SM550PM450,5012.6,2919.2,0.0
A36,C450SM550PM450,5075.4,2919.2,0.0
A38,C450SM550PM450,5138.1,2919.2,0.0
A40,C450SM550PM450,5200.9,2919.2,0.0
A42,C450SM550PM450,5263.6,2919.2,0.0
A44,C450SM550PM450,5326.3,2919.2,0.0
A46,C450SM550PM450,5389.1,2919.2,0.0
A48,C450SM550PM450,5451.8,2919.2,0.0
A50,C450SM550PM450,5514.5,2919.2,0.0
A52,C450SM550PM450,5577.3,2919.2,0.0
A54,C450SM550PM450,5640.0,2919.2,0.0
A56,C450SM550PM450,5702.7,2919.2,0.0
A58,C450SM550PM450,5765.5,2919.2,0.0
A60,C450SM550PM450,5828.2,2919.2,0.0
A62,C450SM550PM450,5890.9,2919.2,0.0
A64,C450SM550PM450,5953.7,2919.2,0.0
A66,C475SM575PM475,6016.4,2919.2,0.0
A68,C500SM600PM500,6079.2,2919.2,0.0
AA2,C450SM550PM450,4008.9,2557.0,0.0
AA4,C450SM550PM450,4071.6,2557.0,0.0
AA6,C450SM550PM450,4134.3,2557.0,0.0
AA8,C450SM550PM450,4197.1,2557.0,0.0
AA10,C450SM550PM450,4259.8,2557.0,0.0
AA12,C450SM550PM450,4322.5,2557.0,0.0
AA14,C450SM550PM450,4385.3,2557.0,0.0
AA16,C450SM550PM450,4448.0,2557.0,0.0
AA18,C450SM550PM450,4510.8,2557.0,0.0
AA20,C450SM550PM450,4573.5,2557.0,0.0
AA22,C450SM550PM450,4636.2,2557.0,0.0
AA24,C450SM550PM450,4699.0,2557.0,0.0
AA26,C450SM550PM450,4761.7,2557.0,0.0
AA28,C450SM550PM450,4824.4,2557.0,0.0
AA30,C450SM550PM450,4887.2,2557.0,0.0
AA32,C450SM550PM450,4949.9,2557.0,0.0
AA34,C450SM550PM450,5012.6,2557.0,0.0
AA36,C450SM550PM450,5075.4,2557.0,0.0
AA38,C450SM550PM450,5138.1,2557.0,0.0
